AtcoCode,CommonName,Easting,Northing,Longitude,LocalityName,Latitude,ShortCommonName,Street,Status,Indicator,StopType,,
700000000000,Mount Eagles,326529,368926,-6.0452305272,Belfast Metro Ops,54.552828129,,,active,,BusCoachTramOnStreetPoint,,
700000000001,Queens Square,334293,374521,-5.92275262,Belfast Metro Ops,54.60106657,,,active,,BusCoachTramOnStreetPoint,,
700000000002,Lagmore Reservoir,326677,369188,-6.042831962,Belfast Metro Ops,54.5551433617,,,active,,BusCoachTramOnStreetPoint,,
700000000003,Station Street,334559,374480,-5.9186719939,Belfast Metro Ops,54.600619178,,,active,,BusCoachTramOnStreetPoint,,
700000000004,Lagmore Avenue (Teeling Avenue),326737,369160,-6.0419172358,Belfast Metro Ops,54.5548769821,,,active,,BusCoachTramOnStreetPoint,,
700000000005,Short Strand (Newtownards Road),335241,374447,-5.9081420006,Belfast Metro Ops,54.6001411095,,,active,,BusCoachTramOnStreetPoint,,
700000000006,Lagmore Avenue (Glendowan Park),326873,369054,-6.039862218,Belfast Metro Ops,54.5538913055,,,active,,BusCoachTramOnStreetPoint,,
700000000007,Tower Street,335440,374414,-5.9050802915,Belfast Metro Ops,54.5997916404,,,active,,BusCoachTramOnStreetPoint,,
700000000008,Lagmore Avenue (Glenferna),327329,369095,-6.0328012795,Belfast Metro Ops,54.5541450481,,,active,,BusCoachTramOnStreetPoint,,
700000000009,Templemore Avenue,335664,374373,-5.90163579,Belfast Metro Ops,54.59936358,,,active,,BusCoachTramOnStreetPoint,,
700000000010,Lagmore Meadows,327405,368789,-6.0317597244,Belfast Metro Ops,54.5513787436,,,active,,BusCoachTramOnStreetPoint,,
700000000011,Dee Street,335898,374328,-5.8980386005,Belfast Metro Ops,54.598896821,,,active,,BusCoachTramOnStreetPoint,,
700000000012,Lagmore Drive,327396,368596,-6.03198217,Belfast Metro Ops,54.54964829,,,active,,BusCoachTramOnStreetPoint,,
700000000013,Ribble Street,336185,374273,-5.8936266892,Belfast Metro Ops,54.5983259291,,,active,,BusCoachTramOnStreetPoint,,
700000000014,Lagmore Dale,327584,368462,-6.0291367046,Belfast Metro Ops,54.5483979854,,,active,,BusCoachTramOnStreetPoint,,
700000000015,Connswater,336189,374213,-5.89358495,Belfast Metro Ops,54.59778871,,,active,,BusCoachTramOnStreetPoint,,
