,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine2,lookup_address,latitude,longitude
0,1706245,269281,Alrayan supermarket,Retailers - supermarkets/hypermarkets,7840,,274-276 Falls Road,Belfast,BT12 6AL,AwaitingInspection,fhrs_awaitinginspection_en-GB,,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"274-276 Falls Road, Belfast",54.5842868,-5.9782834
1,59480,130876,Asda,Retailers - supermarkets/hypermarkets,7840,,219 Shore Road,Belfast,BT15 3PR,5,fhrs_5_en-GB,2023-10-17,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"219 Shore Road, Belfast",54.628085049999996,-5.922039350790833
2,59479,130874,Asda,Retailers - supermarkets/hypermarkets,7840,Westwood Shopping Centre,Kennedy Way,Belfast,BT11 9AP,5,fhrs_5_en-GB,2023-10-04,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"Kennedy Way, Belfast",54.5796486,-5.9847293
3,1088032,249379,Asia Supermarket,Retailers - supermarkets/hypermarkets,7840,,40 Ormeau Embankment,Belfast,BT6 8LU,5,fhrs_5_en-GB,2024-02-23,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"40 Ormeau Embankment, Belfast",54.5881834,-5.9183075
4,1518705,263460,Asianmix,Retailers - supermarkets/hypermarkets,7840,"Retail Unit 3a, Boucher Plaza",4-6 Boucher Road,Belfast,BT12 6HR,5,fhrs_5_en-GB,2022-07-14,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"4-6 Boucher Road, Belfast",54.5839309,-5.9599781
5,59285,130677,Centra Chichester Street,Retailers - supermarkets/hypermarkets,7840,,71-75 Chichester Street,Belfast,BT1 4JE,5,fhrs_5_en-GB,2022-11-03,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"71-75 Chichester Street, Belfast",54.5973632,-5.924555
6,57613,129380,Co-op,Retailers - supermarkets/hypermarkets,7840,,191-193 Lisburn Road,Belfast,BT9 7EJ,5,fhrs_5_en-GB,2021-09-08,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"191-193 Lisburn Road, Belfast",54.5671823,-5.9702467
7,59159,130544,Co-op,Retailers - supermarkets/hypermarkets,7840,,523 Oldpark Road,Belfast,BT14 6QU,5,fhrs_5_en-GB,2023-09-07,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"523 Oldpark Road, Belfast",54.622338,-5.9562508
8,58018,129731,Co-op,Retailers - supermarkets/hypermarkets,7840,,124 Upper Lisburn Road,Belfast,BT10 0BD,5,fhrs_5_en-GB,2023-03-14,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"124 Upper Lisburn Road, Belfast",54.5557143,-5.9926317
9,57264,129073,Co-op,Retailers - supermarkets/hypermarkets,7840,,156-158 Connsbrook Avenue,Belfast,BT4 1JX,4,fhrs_4_en-GB,2023-08-30,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"156-158 Connsbrook Avenue, Belfast",54.6000278,-5.8846036
